title,abstract,science_field,collaborators,journal_name,evaluation,novelty,rigor,grammar,replicability,accessibility,mathematics,computer_and_information_sciences,physical_sciences,chemical_sciences,earth_and_related_environmental_sciences,biological_sciences,other_natural_sciences,civil_engineering,electrical_engineering,mechanical_engineering,chemical_engineering,materials_engineering,environmental_engineering,evironmental_biotechnology,industrial_biotechnology,nano-technology,other_engineering_and_technologies,basic_medicine,clinical_medicine,health_sciences,medical_biotechnology,other_medical_sciences,agriculture_forestry_and_fisheries,animal_and_dairy_science,veterinary_science,agricultural_biotechnology,other_agricultural_sciences,psychology,economics_and_business,education,sociology,law,political_science,social_and_economic_geography,media_and_communications,other_social_sciences,history_and_archaeology,languages_and_literature,philosophy_ethics_and_religion,arts,other_humanities_and_the_arts,applied_research,conclusive_research,correlational_research,descriptive_research,ethnographic_research,experiment,exploratory_research,focus_groups,interviews,mixed_methods,observation,qualitative_research,quantitative_research,questionnaires,secondary_research,survey_methodology
The making of a socialist underworld: people on the margins in post-war Czechoslovakia (1945-60),"This text depicts the mechanisms that created the underworld and the profiles of people who formed a part of it in post-Second World War Czechoslovakia. The chronological framework is set between the end of the Second World War and the declaration of the so-called Socialist Constitution. It therefore covers the establishment of the Communist monopoly on power in February 1948, the period of Stalinism, the post-Stalinist thaw after 1953, and the amendment of Communist policies in the second half of the 1950s. It also shows the continuities between the principles set at the end of the war and the politics of the post-1948 period, as well as points to several continuities which go back deep into the nineteenth century. The existence of the underworld contrasts with the determination of the post-war political authorities to create a better and more moral society, which took radical forms after the establishment of the Communist monopoly on power. More precisely speaking, the underworld often grew out of this determination on the part of the authorities as well as from some specificities of the post-war welfare and economic politics. The text illustrates these mechanisms using the example of a number of personal destinies. For this, it uses a variety of sources: criminal reports, interrogation protocols and intelligence of the Public Security Service (Verejna bezpecnost) and various departments of the National Security Corps (Sbor narodni bezpecnosti, SNB), reports of the National Committees (Narodni vATIN SMALL LETTER Y WITH ACUTEbory) and of the Ministry of the Interior and legal norms. The topic is approached from the perspective of the social and economic history of state-socialist regimes.",60101.0,"Dušková, Lucie","European Review of History/Revue Europeenne d&apos,Histoire",1,medium,high,0,0,medium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Selective Translation Complex Profiling Reveals Staged Initiation and Co-translational Assembly of Initiation Factor Complexes,"Translational control targeting the initiation phase is central to the regulation of gene expression. Understanding all of its aspects requires substantial technological advancements. Here we modified yeast translation complex profile sequencing (TCP-seq), related to ribosome profiling, and adapted it for mammalian cells. Human TCP-seq, capable of capturing footprints of 40S subunits (40Ss) in addition to 80S ribosomes (80Ss), revealed that mammalian and yeast 40Ss distribute similarly across 5'TRs, indicating considerable evolutionary conservation. We further developed yeast and human selective TCP-seq (Sel-TCP-seq), enabling selection of 40Ss and 80Ss associated with immuno-targeted factors. Sel-TCP-seq demonstrated that eIF2 and eIF3 travel along 5' UTRs with scanning 40Ss to successively dissociate upon AUG recognition, notably, a proportion of eIF3 lingers on during the initial elongation cycles. Highlighting Sel-TCP-seq versatility, we also identified four initiating 48S conformational intermediates, provided novel insights into ATF4 and GCN4 mRNA translational control, and demonstrated co-translational assembly of initiation factor complexes.",10608.0,"Wagner, Susan:Herrmannová, Anna:Hronová, Vladislava:Gunišová, Stanislava:Sen, N. D.:Hannan, R. D.:Hinnebusch, A. G.:Shirokikh, N. E.:Preiss, T.:Valášek, Leoš Shivaya",Molecular Cell,1,high,high,0,1,medium,0,1,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Layered Black Phosphorus: Strongly Anisotropic Magnetic, Electronic, and Electron-Transfer Properties","Layered elemental materials, such as black phosphorus, exhibit unique properties originating from their highly anisotropic layered structure. The results presented herein demonstrate an anomalous anisotropy for the electrical, magnetic, and electrochemical properties of black phosphorus. It is shown that heterogeneous electron transfer from black phosphorus to outer- and inner-sphere molecular probes is highly anisotropic. The electron-transfer rates differ at the basal and edge planes. These unusual properties were interpreted by means of calculations, manifesting the metallic character of the edge planes as compared to the semiconducting properties of the basal plane. This indicates that black phosphorus belongs to a group of materials known as topological insulators. Consequently, these effects render the magnetic properties highly anisotropic, as both diamagnetic and paramagnetic behavior can be observed depending on the orientation in the magnetic field.",0.0,"Sofer, Zdeněk:Sedmidubský, David:Huber, Štěpán:Luxa, Jan:Bouša, Daniel:Boothroyd, Chris:Pumera, Martin",Angewandte Chemie-International Edition,1,high,high,1,1,medium,0,1,1,1,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Geochemical Modelling of Igneous Processes - Principles and Recipes in R Language : Bringing the Power of R to a Geochemical Community,"The aim of this book is to unlock the power of the freeware R language to advanced university students and researchers dealing with whole-rock geochemistry of (meta-) igneous rocks. The first part covers data input/output, calculation of commonly used indexes and plotting in R. The core of the book then focusses on the presentation and practical implementations of modelling techniques used for fingerprinting processes such as partial melting, fractional crystallization, binary mixing or AFC using major-, trace-element and radiogenic isotope data. The reader will be given a firm theoretical basis for forward/reverse modelling, followed by exercises dealing with typical problems likely to be encountered in real life, and their solutions using R. The concluding sections demonstrate, using practical examples, how a researcher can proceed in developing a realistic model simulating natural systems. The appendices outline the fundamentals of the R language and provide a quick introduction to",0.0,"Janoušek, Vojtěch: Moyen, Jean-Francois: Martin, Hervé: Erban, Vojtěch: Farrow, Colin",Geochemical Modelling of Igneous Processes - Principles and Recipes in R Language : Bringing the Power of R to a Geochemical Community,1,medium,medium,0,0,medium,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Plant diversity increases with the strength of negative density dependence at the global scale,"Theory predicts that higher biodiversity in the tropics is maintained by specialized interactions among plants and their natural enemies that result in conspecific negative density dependence (CNDD). By using more than 3000 species and nearly 2.4 million trees across 24 forest plots worldwide, we show that global patterns in tree species diversity reflect not only stronger CNDD at tropical versus temperate latitudes but also a latitudinal shift in the relationship between CNDD and species abundance. CNDD was stronger for rare species at tropical versus temperate latitudes, potentially causing the persistence of greater numbers of rare species in the tropics. Our study reveals fundamental differences in the nature of local-scale biotic interactions that contribute to the maintenance of species diversity across temperate and tropical communities.",40102.0,"Janík, David:Král, Kamil:Vrška, Tomáš",Science,1,high,high,0,1,medium,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0
Lactobacillus plantarum strain maintains growth of infant mice during chronic undernutrition,"In most animal species, juvenile growth is marked by an exponential gain in body weight and size. Here we show that the microbiota of infant mice sustains both weight gain and longitudinal growth when mice are fed a standard laboratory mouse diet or a nutritionally depleted diet. We found that the intestinal microbiota interacts with the somatotropic hormone axis to drive systemic growth. Using monocolonized mouse models, we showed that selected lactobacilli promoted juvenile growth in a strain-dependent manner that recapitulated the microbiota's effect on growth and the somatotropic axis. These findings show that the host's microbiota supports juvenile growt",0.0,"Schwarzer, Martin:Makki, K.:Storelli, G.:Machuca-Gayet, I.:Šrůtková, Dagmar:Hermanová, Petra:Martino, M.E.:Balmand, S.:Hudcovic, Tomáš:Heddi, A.:Rieusset, J.:Kozáková, Hana:Vidal, H.:Leulier, F.",Science,1,medium,high,1,1,medium,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"The Influence of Aging, Hearing, and Tinnitus on the Morphology of Cortical Gray Matter, Amygdala, and Hippocampus","Age related hearing loss (presbycusis) is a natural process represented by elevated auditory thresholds and decreased speech intelligibility, especially in noisy conditions. Tinnitus is a phantom sound that also potentially leads to cortical changes, with its highest occurrence coinciding with the clinical onset of presbycusis. The aim of our project was to identify age, hearing loss and tinnitus related structural changes, within the auditory system and associated structures. Groups of subjects with presbycusis and tinnitus (22 subjects), with only presbycusis (24 subjects), young tinnitus patients with normal hearing (10 subjects) and young controls (17 subjects), underwent an audiological examination to characterize hearing loss and tinnitus. In addition, MRI (3T MR system, analysis in Freesurfer software) scans were used to identify changes in the cortical and subcortical structures. The following areas of the brain were analyzed: Heschl gyrus (HG), planum temporale (PT), primary visual cortex (V1), gyrus parahippocampus (PH), anterior insula (Ins), amygdala (Amg), and hippocampus (HP). A statistical analysis was performed in R framework using linear mixed-effects models with explanatory variables: age, tinnitus, laterality and hearing. In all of the cortical structures, the gray matter thickness decreased significantly with aging without having an effect on laterality (differences between the left and right hemispheres). The decrease in the gray matter thickness was faster in the HG, PT and Ins in comparison with the PH and V1. Aging did not influence the surface of the cortical areas, however there were differences between the surface size of the reported regions in the left and right hemispheres. Hearing loss caused only a borderline decrease of the cortical surface in the HG. Tinnitus was accompanied by a borderline decrease of the Ins surface and led to an increase in the volume of Amy and HP. In summary, aging is accompanied by a decrease in the cortical gray matter thickness, hearing loss only has a limited effect on the structure of the investigated cortical areas and tinnitus causes structural changes which are predominantly within the limbic system and insula, with the structure of the auditory system only being minimally affected.",30230.0,"Profant, Oliver:Škoch, A.:Tintěra, J.:Svobodová, Veronika:Kucharová, Diana:Svobodová Buriánová, Jana:Syka, Josef",Frontiers in Aging Neuroscience,1,medium,high,0,1,medium,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Genetic insights into biological mechanisms governing human ovarian ageing,"Reproductive longevity is essential for fertility and influences healthy ageing in women(1,2), but insights into its underlying biological mechanisms and treatments to preserve it are limited. Here we identify 290 genetic determinants of ovarian ageing, assessed using normal variation in age at natural menopause in approximately 200,000 women of European ancestry. These common alleles were associated with clinical extremes of age at natural menopause, women in the top 1% of genetic susceptibility have an equivalent risk of premature ovarian insufficiency to those carrying monogenic FMR1 premutations(3). The identified loci implicate a broad range of DNA damage response (DDR) processes and include loss-of-function variants in key DDR-associated genes. Integration with experimental models demonstrates that these DDR processes act across the life-course to shape the ovarian reserve and its rate of depletion. Furthermore, we demonstrate that experimental manipulation of DDR pathways highlighted by human genetics increases fertility and extends reproductive life in mice. Causal inference analyses using the identified genetic variants indicate that extending reproductive life in women improves bone health and reduces risk of type 2 diabetes, but increases the risk of hormone-sensitive cancers. These findings provide insight into the mechanisms that govern ovarian ageing, when they act, and how they might be targeted by therapeutic approaches to extend fertility and prevent disease.",10605.0,"Ruth, K. S.:Day, F. R.:Hussain, J.:Knoblochová, Lucie:Šolc, Petr",Nature,1,high,high,0,1,high,0,1,1,1,1,1,1,0,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
Runes from Lany (Czech Republic) - The oldest inscription among Slavs. A new standard for multidisciplinary analysis of runic bones,"When Roman administration and legions gradually withdrew from the outer provinces after the fall of the Western Roman Empire, they created a power void filled by various groups. The dynamic Migration Period that followed is usually considered to have ended when the Germanic Lombards allegedly left Central Europe and were replaced by Slavs. Whether or how Slavic and Germanic tribes interacted, however, is currently disputed. Here we report the first direct archaeological find in support of a contact: a bone fragment dated to similar to 600 AD incised with Germanic runes but found in Lany, Czechia, a contemporaneous settlement associated with Slavs. We documented and authenticated this artifact using a combined approach of use-wear analysis with SEM microscopy, direct radiocarbon dating, and ancient DNA analysis of the animal bone, thereby setting a new standard for the investigation of runic bones. The find is the first older fuark inscription found in any non-Germanic context and suggests that the presumed ancestors of modern Slavic speakers encountered writing much earlier than previously thought.",60102.0,"Macháček, Jiří:Nedoma, Robert:Dresler, Petr:Schulz, Ilektra:Lagonik, Elias:Johnson, Stephen:Kaňáková Hladíková, Ludmila:Slámová, Alena:Llamas, Bastien:Wegmann, Daniel:Hofmanová, Zuzana",Journal of Archaeological Science,1,high,high,0,1,medium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Confirmed cannibalism in wild boar and its possible role in African swine fever transmision,"For the monitoring of wild boar interactions with conspecific carcasses, seven wild boar carcasses were placed in different sites in the Czech Republic during winter season. Data were collected by camera traps. In total, 732 visits were recorded of wild boars at the carcass sites. Direct contact with the carcass was detected in 81% of the records. Cannibalism was observed in 9.8% of all recorded visits. The first direct contact was observed on average 30 days after the carcass had been placed in its respective site. Cannibalism was observed on average after 70 days. The effect of sex-age class on direct contact was not proven in our study. The presented findings show that cannibalism in wild boar can play a substantial role in the ASF epidemic. These results highlighted the importance of the removal of infected carcasses from the habitat, which is crucial for African swine fever eradication.",40301.0,"Cukor, Jan:Linda, Rostislav:Václavek, Petr:Mahlerová, Karolina:Šatrán, Petr:Havránek, František",Transboundary and emerging diseases,1,medium,medium,1,0,medium,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
