Timestamp;Which category best describes your current role?;How would you rate your level of knowledge in machine learning?;Please review the following AI-generated characteristics. For each one, rate its relevance for predicting the category of food hazard using a five-point scale, where 5 is 'Highly Relevant' and 1 is 'Not Relevant'. [Product Type (e.g. Chicken, Dairy, ];Please review the following AI-generated characteristics. For each one, rate its relevance for predicting the category of food hazard using a five-point scale, where 5 is 'Highly Relevant' and 1 is 'Not Relevant'. [Hazard type (e.g., biological, allergens, chemical)];Please review the following AI-generated characteristics. For each one, rate its relevance for predicting the category of food hazard using a five-point scale, where 5 is 'Highly Relevant' and 1 is 'Not Relevant'. [Recall reason (e.g., Listeria, undeclared allergen)];Please review the following AI-generated characteristics. For each one, rate its relevance for predicting the category of food hazard using a five-point scale, where 5 is 'Highly Relevant' and 1 is 'Not Relevant'. [Contaminant Type (e.g. Listeria, Plastic, ...)];Please review the following AI-generated characteristics. For each one, rate its relevance for predicting the category of food hazard using a five-point scale, where 5 is 'Highly Relevant' and 1 is 'Not Relevant'. [Distribution area (e.g., United States, Regional)];Please review the following AI-generated characteristics. For each one, rate its relevance for predicting the category of food hazard using a five-point scale, where 5 is 'Highly Relevant' and 1 is 'Not Relevant'. [Recall Action (e.g. Product Recall) ];Please review the following AI-generated characteristics. For each one, rate its relevance for predicting the category of food hazard using a five-point scale, where 5 is 'Highly Relevant' and 1 is 'Not Relevant'. [Affected Population ];Please review the following AI-generated characteristics. For each one, rate its relevance for predicting the category of food hazard using a five-point scale, where 5 is 'Highly Relevant' and 1 is 'Not Relevant'. [Recall Date (format: YYYY-MM-DD)];Please review the following AI-generated characteristics. For each one, rate its relevance for predicting the category of food hazard using a five-point scale, where 5 is 'Highly Relevant' and 1 is 'Not Relevant'. [Company Name];Please review the following AI-generated characteristics. For each one, rate its relevance for predicting the category of food hazard using a five-point scale, where 5 is 'Highly Relevant' and 1 is 'Not Relevant'. [Product packaging ];Please review the following AI-generated characteristics. For each one, rate its relevance for predicting the category of food hazard using a five-point scale, where 5 is 'Highly Relevant' and 1 is 'Not Relevant'. [Allergen Type];Please review the following AI-generated characteristics. For each one, rate its relevance for predicting the category of food hazard using a five-point scale, where 5 is 'Highly Relevant' and 1 is 'Not Relevant'. [Recall Severity];Please review the following AI-generated characteristics. For each one, rate its relevance for predicting the category of food hazard using a five-point scale, where 5 is 'Highly Relevant' and 1 is 'Not Relevant'. [Product origin];Please review the following AI-generated characteristics. For each one, rate its relevance for predicting the category of food hazard using a five-point scale, where 5 is 'Highly Relevant' and 1 is 'Not Relevant'. [Consumer advice (e.g., Do not consume, Return to store)];Please review the following AI-generated characteristics. For each one, rate its relevance for predicting the category of food hazard using a five-point scale, where 5 is 'Highly Relevant' and 1 is 'Not Relevant'. [Recall source (e.g. FDA, CFIA, ...)];Please review the following AI-generated characteristics. For each one, rate its relevance for predicting the category of food hazard using a five-point scale, where 5 is 'Highly Relevant' and 1 is 'Not Relevant'. [Product Batch code (alphanumeric identifier)];Please review the following AI-generated characteristics. For each one, rate its relevance for predicting the category of food hazard using a five-point scale, where 5 is 'Highly Relevant' and 1 is 'Not Relevant'. [Recall Notification Method (e.g. Press release, In-Store Notice)];Please review the following AI-generated characteristics. For each one, rate its relevance for predicting the category of food hazard using a five-point scale, where 5 is 'Highly Relevant' and 1 is 'Not Relevant'. [Product Size];Please review the following AI-generated characteristics. For each one, rate its relevance for predicting the category of food hazard using a five-point scale, where 5 is 'Highly Relevant' and 1 is 'Not Relevant'. [Recall Frequency (Low, Medium, High)];Please review the following AI-generated characteristics. For each one, rate its relevance for predicting the category of food hazard using a five-point scale, where 5 is 'Highly Relevant' and 1 is 'Not Relevant'. [Recall Duration];Thank you. If you have any additional comments or suggestions, please provide them below.
24.06.2025 0:04;Business professional;"Low – Heard of it; minimal understanding, no practical use.";5;5;5;5;3;3;4;5;1;5;5;5;5;3;2;5;1;3;5;4;
24.06.2025 19:58;Student – graduate (Master’s or PhD level);"Moderate – Understand core concepts (e.g. via courses or tutorials); limited practice.";4;5;3;5;3;1;2;1;3;3;3;4;3;2;2;1;1;1;3;1;
25.06.2025 16:50;Student – undergraduate (Bachelor’s level);"Moderate – Understand core concepts (e.g. via courses or tutorials); limited practice.";5;5;5;5;1;3;2;3;1;2;1;4;1;1;4;1;5;1;3;4;
25.06.2025 17:01;Student – graduate (Master’s or PhD level);"High – Strong theoretical and/or practical experience; able to apply independently.";5;5;5;5;4;1;2;1;2;5;5;5;5;1;1;1;2;1;2;4;
25.06.2025 17:51;Student – undergraduate (Bachelor’s level);"Low – Heard of it; minimal understanding, no practical use.";4;4;5;4;4;3;4;4;2;5;3;4;5;4;4;4;2;2;3;3;
25.06.2025 18:26;Student – graduate (Master’s or PhD level);"High – Strong theoretical and/or practical experience; able to apply independently.";3;5;5;5;3;5;5;5;3;2;4;5;2;5;4;3;4;1;5;4;
26.06.2025 10:16;Student – graduate (Master’s or PhD level);"Moderate – Understand core concepts (e.g. via courses or tutorials); limited practice.";4;4;4;3;3;4;5;3;2;3;4;5;2;4;4;1;2;1;4;4;
26.06.2025 13:47;Student – undergraduate (Bachelor’s level);"Moderate – Understand core concepts (e.g. via courses or tutorials); limited practice.";4;5;5;5;4;5;4;2;3;3;5;4;5;5;3;4;2;2;1;2;
26.06.2025 18:28;Student – graduate (Master’s or PhD level);"Moderate – Understand core concepts (e.g. via courses or tutorials); limited practice.";5;5;3;3;4;2;5;2;3;4;2;3;4;2;3;1;3;1;2;2;
;;;;;;;;;;;;;;;;;;;;;;;
;;Prumer;4,333333333;4,777777778;4,444444444;4,444444444;3,222222222;3;3,666666667;2,888888889;2,222222222;3,555555556;3,555555556;4,333333333;3,555555556;3;3;2,333333333;2,444444444;1,444444444;3,111111111;3,111111111;
;;Median;4;5;5;5;3;3;4;3;2;3;4;4;4;3;3;1;2;1;3;4;
;;Min;3;4;3;3;1;1;2;1;1;2;1;3;1;1;1;1;1;1;1;1;
;;Max;5;5;5;5;4;5;5;5;3;5;5;5;5;5;4;5;5;3;5;4;
;;Count;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;
