Timestamp;Which category best describes your current role?;How would you rate your level of knowledge in machine learning?;Please review the following AI-generated characteristics. For each one, rate its relevance for predicting the presence of hate speech using a five-point scale, where 5 is 'Highly Relevant' and 1 is 'Not Relevant'. [Presence of racial slurs];Please review the following AI-generated characteristics. For each one, rate its relevance for predicting the presence of hate speech using a five-point scale, where 5 is 'Highly Relevant' and 1 is 'Not Relevant'. [Mention of ethnic groups];Please review the following AI-generated characteristics. For each one, rate its relevance for predicting the presence of hate speech using a five-point scale, where 5 is 'Highly Relevant' and 1 is 'Not Relevant'. [Sentiment polarity (Positive, Negative, Neutral)];Please review the following AI-generated characteristics. For each one, rate its relevance for predicting the presence of hate speech using a five-point scale, where 5 is 'Highly Relevant' and 1 is 'Not Relevant'. [Use of violent language];Please review the following AI-generated characteristics. For each one, rate its relevance for predicting the presence of hate speech using a five-point scale, where 5 is 'Highly Relevant' and 1 is 'Not Relevant'. [Presence of hate symbols];Please review the following AI-generated characteristics. For each one, rate its relevance for predicting the presence of hate speech using a five-point scale, where 5 is 'Highly Relevant' and 1 is 'Not Relevant'. [Use of sarcasm];Please review the following AI-generated characteristics. For each one, rate its relevance for predicting the presence of hate speech using a five-point scale, where 5 is 'Highly Relevant' and 1 is 'Not Relevant'. [Text length (Short, Medium, Long)];Please review the following AI-generated characteristics. For each one, rate its relevance for predicting the presence of hate speech using a five-point scale, where 5 is 'Highly Relevant' and 1 is 'Not Relevant'. [Use of expletives];Please review the following AI-generated characteristics. For each one, rate its relevance for predicting the presence of hate speech using a five-point scale, where 5 is 'Highly Relevant' and 1 is 'Not Relevant'. [Grammatical errors];Please review the following AI-generated characteristics. For each one, rate its relevance for predicting the presence of hate speech using a five-point scale, where 5 is 'Highly Relevant' and 1 is 'Not Relevant'. [Use of first-person pronouns];Please review the following AI-generated characteristics. For each one, rate its relevance for predicting the presence of hate speech using a five-point scale, where 5 is 'Highly Relevant' and 1 is 'Not Relevant'. [Use of second-person pronouns];Please review the following AI-generated characteristics. For each one, rate its relevance for predicting the presence of hate speech using a five-point scale, where 5 is 'Highly Relevant' and 1 is 'Not Relevant'. [Use of third-person pronouns];Please review the following AI-generated characteristics. For each one, rate its relevance for predicting the presence of hate speech using a five-point scale, where 5 is 'Highly Relevant' and 1 is 'Not Relevant'. [Presence of questions];Please review the following AI-generated characteristics. For each one, rate its relevance for predicting the presence of hate speech using a five-point scale, where 5 is 'Highly Relevant' and 1 is 'Not Relevant'. [Presence of negations];Please review the following AI-generated characteristics. For each one, rate its relevance for predicting the presence of hate speech using a five-point scale, where 5 is 'Highly Relevant' and 1 is 'Not Relevant'. [Use of hyperbolic language];Please review the following AI-generated characteristics. For each one, rate its relevance for predicting the presence of hate speech using a five-point scale, where 5 is 'Highly Relevant' and 1 is 'Not Relevant'. [Presence of emotive language];Please review the following AI-generated characteristics. For each one, rate its relevance for predicting the presence of hate speech using a five-point scale, where 5 is 'Highly Relevant' and 1 is 'Not Relevant'. [Use of metaphors];Please review the following AI-generated characteristics. For each one, rate its relevance for predicting the presence of hate speech using a five-point scale, where 5 is 'Highly Relevant' and 1 is 'Not Relevant'. [Presence of direct quotes];Please review the following AI-generated characteristics. For each one, rate its relevance for predicting the presence of hate speech using a five-point scale, where 5 is 'Highly Relevant' and 1 is 'Not Relevant'. [Use of capitalization for emphasis];Please review the following AI-generated characteristics. For each one, rate its relevance for predicting the presence of hate speech using a five-point scale, where 5 is 'Highly Relevant' and 1 is 'Not Relevant'. [Presence of lists];Thank you. If you have any additional comments or suggestions, please provide them below.
23.06.2025 17:25;Student – undergraduate (Bachelor’s level);"Moderate – Understand core concepts (e.g. via courses or tutorials); limited practice.";5;5;4;5;5;4;2;5;2;2;3;3;2;2;4;4;3;2;4;1;
23.06.2025 22:57;Student – undergraduate (Bachelor’s level);"Moderate – Understand core concepts (e.g. via courses or tutorials); limited practice.";5;2;5;5;5;4;2;1;2;1;2;1;1;2;2;3;3;1;3;1;
24.06.2025 11:37;Student – undergraduate (Bachelor’s level);"Moderate – Understand core concepts (e.g. via courses or tutorials); limited practice.";5;4;5;5;5;4;1;2;1;1;2;3;3;3;3;4;3;1;4;1;
25.06.2025 17:46;Student – undergraduate (Bachelor’s level);"Low – Heard of it; minimal understanding, no practical use.";5;5;1;4;4;2;4;4;3;2;2;1;3;3;4;4;3;2;4;2;
26.06.2025 9:39;Student – undergraduate (Bachelor’s level);"Moderate – Understand core concepts (e.g. via courses or tutorials); limited practice.";5;5;5;5;5;5;1;4;2;2;3;3;1;5;5;5;3;1;4;1;
26.06.2025 9:40;Business professional;"Moderate – Understand core concepts (e.g. via courses or tutorials); limited practice.";5;5;4;4;5;2;1;1;2;1;1;1;1;3;3;3;1;1;1;1;
26.06.2025 10:03;Student – undergraduate (Bachelor’s level);"Low – Heard of it; minimal understanding, no practical use.";5;4;4;5;5;3;4;5;4;3;4;4;3;4;3;4;2;4;5;3;
;;;;;;;;;;;;;;;;;;;;;;;
;;Prumer;5;4,285714286;4;4,714285714;4,857142857;3,428571429;2,142857143;3,142857143;2,285714286;1,714285714;2,428571429;2,285714286;2;3,142857143;3,428571429;3,857142857;2,571428571;1,714285714;3,571428571;1,428571429;
;;Median;5;5;4;5;5;4;2;4;2;2;2;3;2;3;3;4;3;1;4;1;
;;Min;5;2;1;4;4;2;1;1;1;1;1;1;1;2;2;3;1;1;1;1;
;;Max;5;5;5;5;5;5;4;5;4;3;4;4;3;5;5;5;3;4;5;3;
;;Count;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;
