Timestamp;Which category best describes your current role?;How would you rate your level of knowledge in machine learning?;Please review the following AI-generated characteristics. For each one, rate its relevance for predicting the awarded grade using a five-point scale, where 5 is 'Highly Relevant' and 1 is 'Not Relevant'. [Research discipline (e.g., History, Social Sciences)];Please review the following AI-generated characteristics. For each one, rate its relevance for predicting the awarded grade using a five-point scale, where 5 is 'Highly Relevant' and 1 is 'Not Relevant'. [Article type (e.g., Original Research, Review)];Please review the following AI-generated characteristics. For each one, rate its relevance for predicting the awarded grade using a five-point scale, where 5 is 'Highly Relevant' and 1 is 'Not Relevant'. [Research impact (High, Moderate, Low)];Please review the following AI-generated characteristics. For each one, rate its relevance for predicting the awarded grade using a five-point scale, where 5 is 'Highly Relevant' and 1 is 'Not Relevant'. [Methodology complexity (Simple, Moderate, Complex)];Please review the following AI-generated characteristics. For each one, rate its relevance for predicting the awarded grade using a five-point scale, where 5 is 'Highly Relevant' and 1 is 'Not Relevant'. [Data type (Qualitative, Quantitative, Mixed Methods)];Please review the following AI-generated characteristics. For each one, rate its relevance for predicting the awarded grade using a five-point scale, where 5 is 'Highly Relevant' and 1 is 'Not Relevant'. [Sample size (Small, Medium, Large)];Please review the following AI-generated characteristics. For each one, rate its relevance for predicting the awarded grade using a five-point scale, where 5 is 'Highly Relevant' and 1 is 'Not Relevant'. [Funding source (Government, Private, Self-funded, Other)];Please review the following AI-generated characteristics. For each one, rate its relevance for predicting the awarded grade using a five-point scale, where 5 is 'Highly Relevant' and 1 is 'Not Relevant'. [Collaboration level (Single Author, Small Team, etc.)];Please review the following AI-generated characteristics. For each one, rate its relevance for predicting the awarded grade using a five-point scale, where 5 is 'Highly Relevant' and 1 is 'Not Relevant'. [Publication venue (Journal, Conference, Book Chapter)];Please review the following AI-generated characteristics. For each one, rate its relevance for predicting the awarded grade using a five-point scale, where 5 is 'Highly Relevant' and 1 is 'Not Relevant'. [Citation count (Low, Medium, High)];Please review the following AI-generated characteristics. For each one, rate its relevance for predicting the awarded grade using a five-point scale, where 5 is 'Highly Relevant' and 1 is 'Not Relevant'. [Research novelty (Groundbreaking, Innovative, etc.)];Please review the following AI-generated characteristics. For each one, rate its relevance for predicting the awarded grade using a five-point scale, where 5 is 'Highly Relevant' and 1 is 'Not Relevant'. [Interdisciplinary nature];Please review the following AI-generated characteristics. For each one, rate its relevance for predicting the awarded grade using a five-point scale, where 5 is 'Highly Relevant' and 1 is 'Not Relevant'. [Research focus (Theoretical, Applied, Experimental)];Please review the following AI-generated characteristics. For each one, rate its relevance for predicting the awarded grade using a five-point scale, where 5 is 'Highly Relevant' and 1 is 'Not Relevant'. [Geographical context (Local, National, International)];Please review the following AI-generated characteristics. For each one, rate its relevance for predicting the awarded grade using a five-point scale, where 5 is 'Highly Relevant' and 1 is 'Not Relevant'. [Ethical considerations included];Please review the following AI-generated characteristics. For each one, rate its relevance for predicting the awarded grade using a five-point scale, where 5 is 'Highly Relevant' and 1 is 'Not Relevant'. [Technological integration (Low, Medium, High)];Please review the following AI-generated characteristics. For each one, rate its relevance for predicting the awarded grade using a five-point scale, where 5 is 'Highly Relevant' and 1 is 'Not Relevant'. [Statistical analysis type (Descriptive, Inferential, None)];Please review the following AI-generated characteristics. For each one, rate its relevance for predicting the awarded grade using a five-point scale, where 5 is 'Highly Relevant' and 1 is 'Not Relevant'. [Language complexity (Simple, Moderate, Complex)];Please review the following AI-generated characteristics. For each one, rate its relevance for predicting the awarded grade using a five-point scale, where 5 is 'Highly Relevant' and 1 is 'Not Relevant'. [Theoretical framework (Well-defined, Emerging, Absent)];Please review the following AI-generated characteristics. For each one, rate its relevance for predicting the awarded grade using a five-point scale, where 5 is 'Highly Relevant' and 1 is 'Not Relevant'. [Data availability (Open, Restricted, Not Available)];Thank you. If you have any additional comments or suggestions, please provide them below.
24.06.2025 7:03;Student – undergraduate (Bachelor’s level);"Low – Heard of it; minimal understanding, no practical use.";4;2;5;3;2;2;5;3;2;3;5;2;5;2;2;5;4;4;4;4;
24.06.2025 7:08;Business professional;"High – Strong theoretical and/or practical experience; able to apply independently.";5;5;5;5;5;4;5;5;5;3;4;3;4;4;4;4;4;3;4;5;
24.06.2025 13:15;Student – graduate (Master’s or PhD level);"Moderate – Understand core concepts (e.g. via courses or tutorials); limited practice.";2;3;4;4;3;5;1;4;3;4;2;2;4;2;2;3;5;2;3;4;
24.06.2025 22:30;Student – undergraduate (Bachelor’s level);"Moderate – Understand core concepts (e.g. via courses or tutorials); limited practice.";3;1;3;3;3;5;3;3;1;3;3;3;3;3;5;3;3;3;3;3;
25.06.2025 10:46;Student – undergraduate (Bachelor’s level);"Moderate – Understand core concepts (e.g. via courses or tutorials); limited practice.";3;2;4;4;2;5;4;1;5;4;4;4;2;3;4;3;3;2;5;4;
25.06.2025 13:32;Student – undergraduate (Bachelor’s level);"Moderate – Understand core concepts (e.g. via courses or tutorials); limited practice.";3;2;4;5;4;5;2;3;3;4;3;4;4;3;4;3;5;4;5;4;
25.06.2025 16:47;Student – graduate (Master’s or PhD level);"Moderate – Understand core concepts (e.g. via courses or tutorials); limited practice.";2;3;5;5;3;5;1;3;4;5;5;3;4;3;3;4;4;5;5;5;
26.06.2025 13:00;Student – undergraduate (Bachelor’s level);"Moderate – Understand core concepts (e.g. via courses or tutorials); limited practice.";1;4;5;3;3;4;3;1;4;3;4;2;3;5;2;3;3;1;4;5;
26.06.2025 23:43;Student – undergraduate (Bachelor’s level);"Moderate – Understand core concepts (e.g. via courses or tutorials); limited practice.";3;4;4;4;4;2;2;3;4;3;5;2;4;1;1;4;2;4;5;2;
27.06.2025 9:54;Student – undergraduate (Bachelor’s level);"Low – Heard of it; minimal understanding, no practical use.";2;5;4;3;4;5;3;2;4;5;4;2;3;4;2;4;4;4;3;4;
;;;;;;;;;;;;;;;;;;;;;;;
;;Prumer;2,8;3,1;4,3;3,9;3,3;4,2;2,9;2,8;3,5;3,7;3,9;2,7;3,6;3;2,9;3,6;3,7;3,2;4,1;4;
;;Median;3;3;4;4;3;5;3;3;4;3,5;4;2,5;4;3;2,5;3,5;4;3,5;4;4;
;;Min;1;1;3;3;2;2;1;1;1;3;2;2;2;1;1;3;2;1;3;2;
;;Max;5;5;5;5;5;5;5;5;5;5;5;4;5;5;5;5;5;5;5;5;
;;Count;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;
